Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,Features,Time[s]
xgboost_genetic,0.9247777777777778,0.8752127056154283,0.7715,0.8200903534414031,0.9641807142857144,0.9112743276788593,22,582.8520709000004
xgboost_optuna,0.922,0.85310119695321,0.784,0.8170922355393433,0.9637107857142858,0.90985198323603,22,407.05143959999987
flaml_automl,0.9234444444444444,0.8735042735042735,0.7665,0.8165113182423435,0.9638000000000001,0.9109423956656327,22,180.56252399999903
xgboost_grid_search,0.9233333333333333,0.8755733944954128,0.7635,0.8157051282051282,0.9640406428571429,0.9106470776487543,22,22.372704199999134
xgboost_select_k_best,0.923,0.8749282845668388,0.7625,0.8148543948704247,0.9638995000000001,0.9105927816021635,22,0.4659674000013183
xgboost_baseline,0.923,0.8749282845668388,0.7625,0.8148543948704247,0.9638995000000001,0.9105927816021635,22,1.0055377000007866
xgboost_correlation_pruned,0.9223333333333333,0.8757943385326401,0.758,0.8126507638702761,0.9634212142857144,0.90946757920932,18,0.6893799000008585
xgboost_top_importance_features,0.9218888888888889,0.8755066589461494,0.756,0.811376442178696,0.9632319285714285,0.9095755514982583,22,0.4869797999999719
