mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_scale_pos_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
2.2145346641540526,0.10637889171945164,0.05543107986450195,0.011352278129353419,0.1,4,500,1.0,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 500, 'scale_pos_weight': 1.0}",0.8094754653130287,0.8118811881188119,0.8071476736345247,0.8120649651972158,0.7953020134228188,0.80717426113728,0.006201945842373362,1,0.8705077962144584,0.8742604782934755,0.8741578640938201,0.8706019676504919,0.8714142761841227,0.8721884764872737,0.0016800453331823288
1.4607341766357422,0.06038803014145278,0.04428458213806152,0.001217229677203513,0.1,4,300,1.0,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300, 'scale_pos_weight': 1.0}",0.8082936777702243,0.8095712861415753,0.8044806517311609,0.8126455906821963,0.7966159052453469,0.8063214223141009,0.00551420003155937,2,0.8451910961780764,0.8469362024039674,0.8455270894582109,0.8439102294696141,0.8464123676692993,0.8455953970358335,0.0010462423128648165
2.0995169162750242,0.06184600528408886,0.0655677318572998,0.011528380693585815,0.1,3,500,1.0,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500, 'scale_pos_weight': 1.0}",0.8021717000339328,0.8037196944536699,0.8037953236191122,0.8111185532484929,0.7998656816655474,0.8041341906041511,0.0037719887920598604,3,0.8370295698924731,0.8389531957725214,0.8386718094918665,0.8349433011339773,0.8369903320722993,0.8373176416726276,0.0014378051060424085
2.306956911087036,0.01788059068314787,0.06975755691528321,0.003329476203987548,0.05,4,500,1.0,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 500, 'scale_pos_weight': 1.0}",0.7997279836790208,0.8073333333333333,0.8050443081117927,0.8032236400268636,0.797558494404883,0.8025775519111786,0.0035335746858679825,4,0.8360849056603774,0.839215025688537,0.8368327852264104,0.8347386172006745,0.8395207559905501,0.8372784179533099,0.0018358745805281834
1.3082058906555176,0.026859448723470083,0.03706283569335937,0.0004921123359597773,0.1,3,300,1.0,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'scale_pos_weight': 1.0}",0.797832712495767,0.804268089363121,0.8036498817167962,0.8056206088992974,0.7963525835866262,0.8015447752123215,0.0037201773369716765,5,0.8216635734773072,0.822053872053872,0.8216897856242118,0.8176683806794234,0.823045267489712,0.8212241758649051,0.0018470686280032628
2.779539442062378,0.6332609255072473,0.06443109512329101,0.00707429339929296,0.05,3,500,1.0,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 500, 'scale_pos_weight': 1.0}",0.7926829268292683,0.8049349783261087,0.8006814310051107,0.8013422818791947,0.7941773865944483,0.7987638009268261,0.004613491646266973,6,0.8147024110605294,0.816578036633747,0.8149271333501811,0.812452543659833,0.8151083382514122,0.8147536925911405,0.0013252926187434406
1.521848201751709,0.069286987634887,0.044271421432495114,0.0010051955690087344,0.05,4,300,1.0,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 300, 'scale_pos_weight': 1.0}",0.7896879240162822,0.8053511705685619,0.7990414241698048,0.8016139878950908,0.7960637936884968,0.7983516600676472,0.005299176531487159,7,0.8164267569856054,0.819266909337171,0.8177740160812527,0.8145448381081539,0.818304855354424,0.8172634751733214,0.0016401193838804073
2.4422465801239013,0.2810620688082535,0.04332466125488281,0.007836159447439562,0.05,3,300,1.0,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 300, 'scale_pos_weight': 1.0}",0.7829326109041652,0.7977265128719492,0.7954933424376921,0.7973199329983249,0.7880434782608695,0.7923031754946002,0.005843117499265131,8,0.8011143001857167,0.8023344328850546,0.7997630331753555,0.7991886409736308,0.803415912742031,0.8011632639923576,0.0015689641695051373
1.9845689296722413,0.050895733997205296,0.04575815200805664,0.010754086134315811,0.1,4,500,3.5,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 500, 'scale_pos_weight': 3.5}",0.7901444350042481,0.7892827239743232,0.7853727144866386,0.7969586032103633,0.7874149659863946,0.7898346885323936,0.003922117735963343,9,0.8543553028707798,0.8581100141043724,0.8563012833999579,0.8556780672800056,0.8562574829213325,0.8561404301152897,0.0012099004007921853
1.4400230407714845,0.029614757064756705,0.047194910049438474,0.0032122674139899495,0.1,4,300,3.5,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300, 'scale_pos_weight': 3.5}",0.7846836847946725,0.7841627715149849,0.782464846980976,0.7911724137931034,0.7804607271718013,0.7845888888511076,0.0036079533154825486,10,0.8207774337805298,0.8263332412268583,0.824793388429752,0.8233188794824144,0.8248034211615395,0.8240052728162188,0.0018744430944350843
2.1128423690795897,0.0339961170042951,0.061184930801391604,0.006850685852840881,0.1,3,500,3.5,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500, 'scale_pos_weight': 3.5}",0.7784758262769735,0.779891304347826,0.7761683520087456,0.7884615384615384,0.7753863134657837,0.7796766669121734,0.0046771243677143325,11,0.8116140519071424,0.8113000548546352,0.8126966753317827,0.8095270686469098,0.8127916552292067,0.8115859011939353,0.0011839724682542816
2.3109549045562745,0.034970079778319535,0.0701106071472168,0.0025389604688754053,0.05,4,500,3.5,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 500, 'scale_pos_weight': 3.5}",0.775644541963796,0.778563656147987,0.7760217983651226,0.7858513846997532,0.7751169832094688,0.7782396728772254,0.003986175726164861,12,0.8128334929538925,0.8162817789351059,0.81277352297593,0.8114160863034275,0.8130828304991772,0.8132775423335067,0.0016111849163322073
1.2968308448791503,0.02308401582982243,0.041666173934936525,0.007019733010197439,0.1,3,300,3.5,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'scale_pos_weight': 3.5}",0.7704428144525944,0.7709227467811158,0.7682795698924731,0.7818773738469886,0.7693983120065342,0.7721841633959412,0.00493130034084588,13,0.7909367602299628,0.7914438502673797,0.7917172534736274,0.7900817512330248,0.7933694181326116,0.7915098066673213,0.0010838139848490665
1.4814007759094239,0.011986042193351362,0.04476909637451172,0.0007927295267980126,0.05,4,300,3.5,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 300, 'scale_pos_weight': 3.5}",0.7676494454963484,0.7707997852925389,0.7685333333333333,0.774818401937046,0.7634001082837033,0.769040214868594,0.003754610618994717,14,0.7866227037211493,0.7903682719546742,0.7873740765614506,0.7873772036065133,0.7882788817783766,0.7880042275244328,0.00129329024400512
2.197231721878052,0.026984594744598935,0.061665010452270505,0.007260124004524348,0.05,3,500,3.5,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 500, 'scale_pos_weight': 3.5}",0.7666937010002703,0.7653006918573709,0.764501470195135,0.7761917586856989,0.7646103896103896,0.767459602269773,0.004435461931862159,15,0.7820064550833782,0.7839088166275562,0.7848560112774384,0.7825561080499933,0.785858314289555,0.7838371410655842,0.0014227320090982596
2.6787723541259765,0.0144100952182709,0.03896903991699219,0.0007530607431276927,0.05,3,300,3.5,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 300, 'scale_pos_weight': 3.5}",0.7608346709470305,0.758022093634929,0.7581664910432033,0.7696390658174098,0.7565982404692082,0.7606521123823562,0.004697400328161072,16,0.7680138261100771,0.7677076411960133,0.7696591963930514,0.7665274186061932,0.7696800743395725,0.7683176313289815,0.0012103962115296168
