,person_age,person_income,loan_amnt,loan_int_rate,loan_percent_income,credit_score,loan_status
person_age,1.0,0.1655452992703713,0.10659767828768241,0.0946472150163158,-0.03396129465087911,0.14282717660773914,-0.007783810887822643
person_income,0.1655452992703713,1.0,0.3843796697982527,0.015356862975034212,-0.3588477486064934,0.010399781051523983,-0.23456131236011116
loan_amnt,0.10659767828768241,0.3843796697982527,1.0,0.11267978959364615,0.6786854120530831,0.0032882744361094032,0.1347918233474017
loan_int_rate,0.0946472150163158,0.015356862975034212,0.11267978959364615,1.0,0.10040337426491966,0.00041065459197805413,0.295119864151392
loan_percent_income,-0.03396129465087911,-0.3588477486064934,0.6786854120530831,0.10040337426491966,1.0,-0.010380916106904904,0.35431158508824195
credit_score,0.14282717660773914,0.010399781051523983,0.0032882744361094032,0.00041065459197805413,-0.010380916106904904,1.0,-0.0196888375581593
loan_status,-0.007783810887822643,-0.23456131236011116,0.1347918233474017,0.295119864151392,0.35431158508824195,-0.0196888375581593,1.0
